Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1602,4,C,35508,454,0,0,1,725,725,300,400,0,0,300,400,3,2,0,0,0
1603,5,C,35508,454,0,0,2,725,625,300,400,0,0,300,400,3,2,0,0,0
1604,7,C,35508,454,0,0,3,725,550,300,400,0,0,300,400,3,2,0,0,0
1605,1,C,35508,454,0,0,4,725,350,300,400,0,0,300,400,3,2,0,0,0
1606,3,C,35508,454,0,0,5,725,310,300,400,0,0,300,400,3,2,0,0,0
1607,5,C,35508,455,132.5,-132.5,1,625,900,300,400,0,0,300,400,3,2,0,0,0
1608,4,C,35508,455,132.5,132.5,2,625,890,300,400,0,0,300,400,3,2,0,0,0
1609,3,C,35508,455,0,0,3,625,620,300,400,0,0,300,400,3,2,0,0,0
1610,1,C,35508,455,0,0,4,625,350,300,400,0,0,300,400,3,2,0,0,0
1903,6,C,35508,679,20,-20,1,650,1100,500,750,0,0,500,750,3,2,0,0,0
1904,4,C,35508,679,20,20,2,650,690,500,750,0,0,500,750,3,2,0,0,0
1905,1,C,35508,679,0,0,3,650,650,500,750,0,0,500,750,3,2,0,0,0
1906,2,C,35508,679,0,0,4,650,600,500,750,0,0,500,750,3,2,0,0,0
1907,9,C,35508,68,0,0,1,230,220,0,0,525,1,525,525,3,3,0,1,0
1908,3,C,35508,68,0,0,2,230,110,0,0,525,1,525,525,3,3,0,1,0
1909,3,C,35508,680,125,-125,1,850,1800,750,1000,0,0,750,1000,2,2,0,0,0
1910,6,C,35508,680,125,125,2,850,1100,750,1000,0,0,750,1000,2,2,0,0,0
1911,2,C,35508,680,0,0,3,850,850,750,1000,0,0,750,1000,2,2,0,0,0
1912,4,C,35508,680,0,0,4,850,790,750,1000,0,0,750,1000,2,2,0,0,0
1913,1,C,35508,680,0,0,5,850,675,750,1000,0,0,750,1000,2,2,0,0,0
